Head,Relation,Tail,Text,Label
neutralizing antibody activity,assesses,sars-cov-2,measuring sars-cov-2 neutralizing antibody activity using pseudotyped and chimeric viruses,Research-Test
sars-cov,infects,healthcare workers,long-term persistence of igg antibodies in sars-cov infected healthcare workers,Transmit-Infect
sars-cov-2,infects,unexposed donors,immune memory in mild covid-19 patients and unexposed donors from india reveals persistent t cell responses after sars-cov-2 infection,Transmit-Infect
probiotics,prevents,covid-19 infection,simple probiotics might help inhibit covid-19 infection,Cause-Effect
fenofibrate,affects,covid-19,fenofibrate increases the amount of sulfatide which seems beneficial against covid-19,Cause-Effect
sulfatide,related_to,covid-19,fenofibrate increases the amount of sulfatide which seems beneficial against covid-19,Association
gns561,affects,sars-cov-2,gns561 exhibits potent in vitro antiviral activity against sars-cov-2 through autophagy inhibition,Cause-Effect
gns561,shows,antiviral activity against sars-cov-2,gns561 exhibits potent in vitro antiviral activity against sars-cov-2 through autophagy inhibition,Discovery-Validation
pfizer,develops,covid-19 vaccine,suspicions grow that nanoparticles in pfizer 's covid-19 vaccine trigger rare allergic reactions.,Research-Test
nanoparticles,affects,allergic reactions,suspicions grow that nanoparticles in pfizer 's covid-19 vaccine trigger rare allergic reactions.,Cause-Effect
berberine,affects,sars-cov-2,berberine and obatoclax inhibit sars-cov-2 replication in primary human nasal epithelial cells in vitro,Cause-Effect
obatoclax,affects,sars-cov-2,berberine and obatoclax inhibit sars-cov-2 replication in primary human nasal epithelial cells in vitro,Cause-Effect
human nasal epithelial cells,studies,sars-cov-2 replication,berberine and obatoclax inhibit sars-cov-2 replication in primary human nasal epithelial cells in vitro,Research-Test
potential covid-19 drug,affects,covid-19,taiwan completes synthesis of potential covid-19 drug,Cause-Effect
sars-cov-2,increase,25-hydroxyvitamin d concentrations,25-hydroxyvitamin d concentrations are lower in patients with positive pcr for sars-cov-2,Cause-Effect
racial inequality,related_to,us,us racial inequality may be as deadly as covid-19,Association
